EmployeeID,Age,TotalWorkingYears,MonthlyIncome,OverTime,DistanceFromHome,YearsAtCompany,MonthlyRate,JobInvolvement,JobRole,JobLevel,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,Shift,WorkLifeBalance,PercentSalaryHike,MaritalStatus,Attrition
1313919,41,8,5993,Yes,1,6,19479,3,Nurse,2,4,0,5,2,0,1,11,Single,No
1200302,49,10,5130,No,8,10,24907,2,Other,2,7,1,7,3,1,3,23,Married,No
1060315,37,7,2090,Yes,2,0,2396,2,Nurse,1,0,0,0,4,0,3,15,Single,Yes
1272912,33,8,2909,Yes,3,8,23159,3,Other,1,7,3,0,4,0,3,11,Married,No
1414939,27,6,3468,No,2,2,16632,3,Nurse,1,2,2,2,1,1,3,12,Married,No
1633361,32,8,3068,No,2,7,11864,3,Nurse,1,7,3,6,4,0,2,13,Single,No
1329390,59,12,2670,Yes,3,1,9964,4,Nurse,1,0,0,0,3,3,2,20,Married,No
1699288,30,1,2693,No,24,1,13335,3,Nurse,1,0,0,0,4,1,3,22,Divorced,No
1469740,38,10,9526,No,23,9,8787,2,Therapist,3,7,1,8,4,0,3,21,Single,No
1101291,36,17,5237,No,27,7,16577,3,Nurse,2,7,7,7,3,2,2,13,Married,No
1430504,35,6,2426,No,16,5,16479,4,Nurse,1,4,0,3,1,1,3,13,Married,No
1196281,29,10,4193,Yes,15,9,12682,2,Nurse,2,5,0,8,4,0,3,12,Single,No
1207951,31,5,2911,No,26,5,15170,3,Other,1,2,4,3,1,1,2,17,Divorced,No
1080660,34,3,2661,No,19,2,8758,3,Nurse,1,2,1,2,2,1,3,11,Divorced,No
1420391,28,6,2028,Yes,24,4,12947,2,Nurse,1,2,0,3,3,0,3,14,Single,Yes
1337254,29,10,9980,No,21,10,10195,4,Therapist,3,9,8,8,2,1,3,11,Divorced,No
1421335,32,7,3298,Yes,5,6,15053,4,Other,1,2,0,5,1,2,2,12,Divorced,No
1262683,22,1,2935,Yes,16,1,7324,4,Nurse,1,0,0,0,4,2,2,13,Divorced,No
1599218,53,31,15427,No,2,25,22021,2,Administrative,4,8,3,7,1,0,3,16,Married,No
1634788,38,6,3944,Yes,2,3,4306,3,Other,1,2,1,2,4,0,3,11,Single,No
1334559,24,5,4011,No,11,4,8232,4,Therapist,2,2,1,3,1,1,2,18,Divorced,No
1402945,36,10,3407,No,9,5,6986,2,Other,1,3,0,3,3,0,3,23,Single,No
1705718,34,13,11994,No,7,12,21293,3,Other,3,6,2,11,1,0,3,11,Single,No
1880078,21,0,1232,No,15,0,19281,3,Other,1,0,0,0,3,0,3,14,Single,No
1801346,34,8,2960,No,6,4,17102,3,Other,1,2,1,3,2,0,3,11,Single,No
1142160,53,26,19094,No,5,14,10735,3,Other,5,13,4,8,3,1,2,11,Divorced,No
1142062,32,10,3919,Yes,16,10,4681,1,Other,1,2,6,7,2,0,3,22,Single,Yes
1789756,42,10,6825,No,8,9,21173,3,Nurse,2,7,4,2,3,1,3,11,Married,No
1126009,44,24,10248,No,7,22,2094,2,Nurse,3,6,5,17,1,1,3,14,Married,No
1552176,46,22,18947,No,2,2,22822,3,Administrative,5,2,2,1,2,0,2,12,Single,No
1118605,33,7,2496,No,2,1,6670,3,Nurse,1,1,0,0,3,0,3,11,Single,No
1397325,44,9,6465,Yes,10,4,19121,3,Nurse,2,2,1,3,4,0,4,13,Married,No
1874834,30,10,2206,No,9,10,16117,2,Nurse,1,0,1,8,4,0,3,13,Single,No
1275746,39,19,2086,No,5,1,3335,3,Other,2,0,0,0,4,1,4,14,Married,No
1884939,24,6,2293,Yes,1,2,3020,3,Other,1,0,2,0,2,1,2,16,Married,Yes
1650304,43,6,2645,No,2,5,21923,4,Other,1,3,1,4,4,2,2,12,Divorced,No
1058169,50,3,2683,Yes,3,3,3810,2,Other,1,2,0,2,1,0,3,14,Married,Yes
1319183,35,2,2014,No,2,2,9687,3,Other,1,2,2,2,4,0,3,13,Married,No
1872551,36,6,3419,Yes,5,1,13072,2,Other,1,1,0,0,2,1,4,14,Married,No
1060693,33,10,5376,No,1,5,3193,4,Nurse,2,3,1,3,3,2,3,19,Married,No
1110390,35,1,1951,No,4,1,10910,3,Nurse,1,0,0,0,3,1,3,12,Divorced,No
1448895,27,1,2341,No,2,1,19715,3,Nurse,1,0,0,0,4,1,3,13,Divorced,No
1547220,26,1,2293,No,25,1,10558,1,Nurse,1,0,0,1,1,0,2,12,Single,Yes
